Labs waren opmerkelijk voor Cr 1,7 (basislijn 0,5 volgens oude gegevens) en lactaat 2,4. 	 De patiënt heeft een verhoogde Cr 	 entailment 
Haar eerste evaluatie was door Dr. [**Laatse naam (STitel) 8265**] [**Naam (STitel) 8266**] en op dat moment had patiënte pijn in het bovenste kwadrant, geen misselijkheid, braken, koorts, rillingen of vermoeidheid, hepatosplenomegalie, geelzucht of encefalopathie. 	 Ze was eerder geëvalueerd voor abdominale pijn 	 entailment 
Haar eerste evaluatie was door Dr. [**Laatse naam (STitel) 8265**] [**Naam (STitel) 8266**] en op dat moment had patiënte pijn in het bovenste kwadrant, geen misselijkheid, braken, koorts, rillingen of vermoeidheid, hepatosplenomegalie, geelzucht of encefalopathie. 	 Ze heeft geen recente klachten van buikpijn gehad 	 contradiction 
Haar eerste evaluatie was door Dr. [**Laatse naam (STitel) 8265**] [**Naam (STitel) 8266**] en op dat moment had patiënte pijn in het bovenste kwadrant, geen misselijkheid, braken, koorts, rillingen of vermoeidheid, hepatosplenomegalie, geelzucht of encefalopathie. 	 Ze heeft een geschiedenis van galblaasaandoeningen 	 neutral 
Ik heb hem gezegd dat hij een symptomatische manifestatie had van een tumor die waarschijnlijk kwaadaardig van aard is. 	 De patiënt heeft een tumor die waarschijnlijk kwaadaardig is. 	 entailment 
Ik heb hem gezegd dat hij een symptomatische manifestatie had van een tumor die waarschijnlijk kwaadaardig van aard is. 	 De patiënt heeft geen tumor. 	 contradiction 
Ik heb hem gezegd dat hij een symptomatische manifestatie had van een tumor die waarschijnlijk kwaadaardig van aard is. 	 De patiënt heeft longkanker. 	 neutral 
53-jarige man met progressieve multiple sclerose en recente episode van urosepsis, opgenomen vanuit de praktijk van de huisarts met gegeneraliseerde zwakte en tachycardie. 	 Patiënt heeft geschiedenis van UTIs 	 entailment 
53-jarige man met progressieve multiple sclerose en recente episode van urosepsis, opgenomen vanuit de praktijk van de huisarts met gegeneraliseerde zwakte en tachycardie. 	 De patiënt heeft een normaal neurologisch onderzoek 	 contradiction 
53-jarige man met progressieve multiple sclerose en recente episode van urosepsis, opgenomen vanuit de praktijk van de huisarts met gegeneraliseerde zwakte en tachycardie. 	 De patiënt heeft een neurologische aandoening 	 neutral 
SVT v. atriale flutter v. atriale fibrillatie gezien op meerdere EKG's. 	 De patiënt heeft een tachyarythmia. 	 entailment 
SVT v. atriale flutter v. atriale fibrillatie gezien op meerdere EKG's. 	 De ECG van de patiënt heeft een regelmatig ritme. 	 contradiction 
SVT v. atriale flutter v. atriale fibrillatie gezien op meerdere EKG's. 	 De patiënt heeft congestief hartfalen. 	 neutral 
Hartkatheterisatie toonde CO 4,09, CI 1,95, PCWP 21, RA 12, PA 51/22 LMCA normaal LAD: middensegment 80% laesie met bescheiden calcium LCX: niet-dominant bloedvat met middensegment 90% laesie na OM1. 	 patiënt heeft coronaire hartziekte 	 entailment 
Hartkatheterisatie toonde CO 4,09, CI 1,95, PCWP 21, RA 12, PA 51/22 LMCA normaal LAD: middensegment 80% laesie met bescheiden calcium LCX: niet-dominant bloedvat met middensegment 90% laesie na OM1. 	 patiënt heeft normale kransslagaders 	 contradiction 
Hartkatheterisatie toonde CO 4,09, CI 1,95, PCWP 21, RA 12, PA 51/22 LMCA normaal LAD: middensegment 80% laesie met bescheiden calcium LCX: niet-dominant bloedvat met middensegment 90% laesie na OM1. 	 patiënt heeft diabetes 	 neutral 
Op [**3-23**] was zijn bicarb gestegen tot 12 en zijn creatinine was verbeterd tot 1,4. 	 De labwaarden van de patiënt verbeteren. 	 entailment 
Op [**3-23**] was zijn bicarb gestegen tot 12 en zijn creatinine was verbeterd tot 1,4. 	 Patiënt heeft normale Cr 	 contradiction 
Op [**3-23**] was zijn bicarb gestegen tot 12 en zijn creatinine was verbeterd tot 1,4. 	 Patiënt heeft CKD 	 neutral 
Het been van net boven de knie was koel en gevlekt. 	 Patiënt heeft slechte ledemaat perfusie 	 entailment 
Het been van net boven de knie was koel en gevlekt. 	 De patiënt heeft een normale beenperfusie 	 contradiction 
Het been van net boven de knie was koel en gevlekt. 	 Patiënt heeft PAD 	 neutral 
De test werd stopgezet en de ECG-veranderingen van de patiënt verdwenen aanvankelijk grotendeels. 	 De patiënt had een abnormaal EKG 	 entailment 
De test werd stopgezet en de ECG-veranderingen van de patiënt verdwenen aanvankelijk grotendeels. 	 EKG veranderingen opgelost met cardioconversie 	 contradiction 
De test werd stopgezet en de ECG-veranderingen van de patiënt verdwenen aanvankelijk grotendeels. 	 De patiënt heeft een voorgeschiedenis van aritmie 	 neutral 
Ze beantwoordt op dit moment geen ROS-vragen. 	 Ze is een slechte geschiedkundige op dit moment 	 entailment 
Ze beantwoordt op dit moment geen ROS-vragen. 	 Ze geeft een volledige geschiedenis tijdens het interview 	 contradiction 
Ze beantwoordt op dit moment geen ROS-vragen. 	 Ze is geagiteerd 	 neutral 
Een 44-jarige man presenteert zich met meerdere steekwonden op de linkerborst en -zij met verwondingen aan het middenrif en een scheur in de lever. 	 Patiënt met een penetrerend trauma 	 entailment 
Een 44-jarige man presenteert zich met meerdere steekwonden op de linkerborst en -zij met verwondingen aan het middenrif en een scheur in de lever. 	 De patiënt heeft geen wonden. 	 contradiction 
Een 44-jarige man presenteert zich met meerdere steekwonden op de linkerborst en -zij met verwondingen aan het middenrif en een scheur in de lever. 	 Patiënt kreeg bloedtransfusie 	 neutral 
IVDU op methadon 5. 	 De patiënt krijgt methadon om het opiaat verlangen aan te vullen. 	 entailment 
IVDU op methadon 5. 	 De patiënt neemt geen medicatie. 	 contradiction 
IVDU op methadon 5. 	 De patiënt had hepatitis C. 	 neutral 
Voorbijgaande ischemische aanval in [**2524**]. 	 de patiënt heeft een voorgeschiedenis van TIA 	 entailment 
Voorbijgaande ischemische aanval in [**2524**]. 	 de patiënt heeft geen neurologische voorgeschiedenis 	 contradiction 
Voorbijgaande ischemische aanval in [**2524**]. 	 de patiënt heeft geen neurologische tekorten 	 neutral 
Op de röntgenfoto was een ongebruikelijke troebelheid te zien in het linker laterale aspect van de linker bovenkwab en lucency mediaal. 	 De patiënt heeft een bevinding van mogelijke longontsteking. 	 entailment 
Op de röntgenfoto was een ongebruikelijke troebelheid te zien in het linker laterale aspect van de linker bovenkwab en lucency mediaal. 	 De patiënt heeft een duidelijke röntgenfoto van de borst. 	 contradiction 
Op de röntgenfoto was een ongebruikelijke troebelheid te zien in het linker laterale aspect van de linker bovenkwab en lucency mediaal. 	 De patiënt heeft een linker bovenkwab longontsteking. 	 neutral 
Zij had al twee keer eerder last gehad van gevoelloosheid van de tong, de eerste keer op [**3-/2903**] zonder noemenswaardige gevolgen, en zij had niemand verteld over deze eerdere episodes. 	 De patiënt heeft intermitterende gevoelloosheid. 	 entailment 
Zij had al twee keer eerder last gehad van gevoelloosheid van de tong, de eerste keer op [**3-/2903**] zonder noemenswaardige gevolgen, en zij had niemand verteld over deze eerdere episodes. 	 De patiënt heeft geen neurologische klachten. 	 contradiction 
Zij had al twee keer eerder last gehad van gevoelloosheid van de tong, de eerste keer op [**3-/2903**] zonder noemenswaardige gevolgen, en zij had niemand verteld over deze eerdere episodes. 	 De patiënt lijdt aan TIA's. 	 neutral 
Toen werd ze lethargisch en reageerde niet meer en verwijde haar linker pupil. 	 De patiënt heeft symptomen van een hernia van de nek. 	 entailment 
Toen werd ze lethargisch en reageerde niet meer en verwijde haar linker pupil. 	 De patiënt heeft een normaal neurologisch onderzoek. 	 contradiction 
Toen werd ze lethargisch en reageerde niet meer en verwijde haar linker pupil. 	 De patiënt heeft een intracraniële bloeding. 	 neutral 
Op dat moment besloot de patiënte naar [**Ziekenhuis1 52**] te komen om door haar oncoloog Dr. [**Voornaam (STitel) 2609**] te worden gezien. 	 De patiënt heeft kanker. 	 entailment 
Op dat moment besloot de patiënte naar [**Ziekenhuis1 52**] te komen om door haar oncoloog Dr. [**Voornaam (STitel) 2609**] te worden gezien. 	 De patiënt heeft geen voorgeschiedenis van maligniteit. 	 contradiction 
Op dat moment besloot de patiënte naar [**Ziekenhuis1 52**] te komen om door haar oncoloog Dr. [**Voornaam (STitel) 2609**] te worden gezien. 	 De patiënt heeft darmkanker. 	 neutral 
Hij reed naar verluidt in een gestolen auto en werd achtervolgd door de politie. 	 De patiënt is opgesloten. 	 entailment 
Hij reed naar verluidt in een gestolen auto en werd achtervolgd door de politie. 	 De patiënt heeft geen voorgeschiedenis van politiecontacten. 	 contradiction 
Hij reed naar verluidt in een gestolen auto en werd achtervolgd door de politie. 	 De patiënt is dronken. 	 neutral 
KNO evalueerde de patiënt en constateerde een zwelling van de uvula en het epiglottis met een open bloeding uit de linker tonsillaire pool. 	 Er is een bloeding in de oropharynx 	 entailment 
KNO evalueerde de patiënt en constateerde een zwelling van de uvula en het epiglottis met een open bloeding uit de linker tonsillaire pool. 	 Oropharyx lijkt normaal 	 contradiction 
KNO evalueerde de patiënt en constateerde een zwelling van de uvula en het epiglottis met een open bloeding uit de linker tonsillaire pool. 	 De patiënt heeft moeite met ademhalen 	 neutral 
[**Kennis patiënt achternaam 28289**] is een 65-jarige vrouw met een [**Locatie **]voorgeschiedenis van Hodgkin lymfoom, bij wie dyspnoe werd vastgesteld en die een grote, licht gelokaliseerde rechter pleurale effusie bleek te hebben. 	 de patiënt heeft een gelokaliseerde rechter effusie 	 entailment 
[**Kennis patiënt achternaam 28289**] is een 65-jarige vrouw met een [**Locatie **]voorgeschiedenis van Hodgkin lymfoom, bij wie dyspnoe werd vastgesteld en die een grote, licht gelokaliseerde rechter pleurale effusie bleek te hebben. 	 de patiënt heeft een normale röntgenfoto van de borstkas 	 contradiction 
[**Kennis patiënt achternaam 28289**] is een 65-jarige vrouw met een [**Locatie **]voorgeschiedenis van Hodgkin lymfoom, bij wie dyspnoe werd vastgesteld en die een grote, licht gelokaliseerde rechter pleurale effusie bleek te hebben. 	 de patiënt heeft een kwaadaardige effusie 	 neutral 
Vanwege haar [** Locatie **] opnames voor slecht gecontroleerde diabetes, werden elektrolyten gecontroleerd en bleek de patiënt een gat van 26 te hebben, met een glucose in de 400, en ketonurie. 	 Patiënt heeft ketoacidose 	 entailment 
Vanwege haar [** Locatie **] opnames voor slecht gecontroleerde diabetes, werden elektrolyten gecontroleerd en bleek de patiënt een gat van 26 te hebben, met een glucose in de 400, en ketonurie. 	 De patiënt heeft normale serum glucose 	 contradiction 
Vanwege haar [** Locatie **] opnames voor slecht gecontroleerde diabetes, werden elektrolyten gecontroleerd en bleek de patiënt een gat van 26 te hebben, met een glucose in de 400, en ketonurie. 	 De patiënt heeft een lagere bloed pH 	 neutral 
Geschiedenis van maagvarices. 	 Voorgeschiedenis van gastro-intestinale ziekte 	 entailment 
Geschiedenis van maagvarices. 	 Geen voorgeschiedenis van gastro-intestinale ziekte 	 contradiction 
Geschiedenis van maagvarices. 	 Voorgeschiedenis van portale hypertensie 	 neutral 
Hij had nauwelijks een kokhalsreflex op de spoedeisende hulp, maar hij kreeg wel etomidaat en succinylcholine voor intubatie. 	 de patiënt is bedwelmd 	 entailment 
Hij had nauwelijks een kokhalsreflex op de spoedeisende hulp, maar hij kreeg wel etomidaat en succinylcholine voor intubatie. 	 patiënt is alert 	 contradiction 
Hij had nauwelijks een kokhalsreflex op de spoedeisende hulp, maar hij kreeg wel etomidaat en succinylcholine voor intubatie. 	 patiënt heeft hypoxisch hersenletsel 	 neutral 
Niercelcarcinoom, status na gedeeltelijke nefrectomie in [**12-19**]. 	 Patiënt heeft kanker 	 entailment 
Niercelcarcinoom, status na gedeeltelijke nefrectomie in [**12-19**]. 	 De patiënt heeft geen maligniteit 	 contradiction 
Niercelcarcinoom, status na gedeeltelijke nefrectomie in [**12-19**]. 	 De patiënt heeft uitgezaaide ziekte 	 neutral 
Rapporteert een mechanische val te hebben gemaakt op de ochtend van opname toen hij voorover leunde op een opklapbare eettafel die vervolgens instortte. 	 de patiënt had een mechanische val 	 entailment 
Rapporteert een mechanische val te hebben gemaakt op de ochtend van opname toen hij voorover leunde op een opklapbare eettafel die vervolgens instortte. 	 de patiënt heeft geen voorgeschiedenis van vallen 	 contradiction 
Rapporteert een mechanische val te hebben gemaakt op de ochtend van opname toen hij voorover leunde op een opklapbare eettafel die vervolgens instortte. 	 de patiënt heeft een breuk 	 neutral 
Er werd een lumbaalpunctie verricht, die wees op bacteriële meningitis, en de patiënt werd begonnen met ceftazidime. 	 De patiënt heeft een levensbedreigende infectie 	 entailment 
Er werd een lumbaalpunctie verricht, die wees op bacteriële meningitis, en de patiënt werd begonnen met ceftazidime. 	 De patiënt heeft geen symptomen 	 contradiction 
Er werd een lumbaalpunctie verricht, die wees op bacteriële meningitis, en de patiënt werd begonnen met ceftazidime. 	 Patiënt heeft ICU zorg nodig 	 neutral 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënte is een 64 jarige vrouw, goed bekend bij de dienst neurochirurgie. 	 de patiënt heeft een neurochirurgische voorgeschiedenis 	 entailment 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënte is een 64 jarige vrouw, goed bekend bij de dienst neurochirurgie. 	 de patiënt heeft geen neurologische voorgeschiedenis 	 contradiction 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënte is een 64 jarige vrouw, goed bekend bij de dienst neurochirurgie. 	 de patiënt had een hersentumor 	 neutral 
Ze noteert ook een gewichtstoename van 4 pond op het moment van opname. 	 patiënt heeft gewichtstoename. 	 entailment 
Ze noteert ook een gewichtstoename van 4 pond op het moment van opname. 	 patiënt heeft gewichtsverlies. 	 contradiction 
Ze noteert ook een gewichtstoename van 4 pond op het moment van opname. 	 patiënt heeft hartfalen. 	 neutral 
Ze zat 93% op RA, en 100% op 4L gezichtsmasker. 	 de patiënt extra zuurstof toegediend krijgt 	 entailment 
Ze zat 93% op RA, en 100% op 4L gezichtsmasker. 	 de patiënt is hypoxisch 	 contradiction 
Ze zat 93% op RA, en 100% op 4L gezichtsmasker. 	 de patiënt klaagt over kortademigheid 	 neutral 
Ze had geen koorts/ rillingen/ zweet voor ze naar het ziekenhuis kwam. 	 Patiënt had een negatieve ROS 	 entailment 
Ze had geen koorts/ rillingen/ zweet voor ze naar het ziekenhuis kwam. 	 De patiënt had een verhoogde temperatuur 	 contradiction 
Ze had geen koorts/ rillingen/ zweet voor ze naar het ziekenhuis kwam. 	 De patiënt heeft een normale abdominale CT 	 neutral 
De reanimatie werd gestart, TEE toonde aan dat er lucht in de linker hartkamer zat. 	 Patiënt heeft een lucht embolie 	 entailment 
De reanimatie werd gestart, TEE toonde aan dat er lucht in de linker hartkamer zat. 	 Patiënt heeft normale TEE 	 contradiction 
De reanimatie werd gestart, TEE toonde aan dat er lucht in de linker hartkamer zat. 	 De patiënt heeft een slechte prognose 	 neutral 
Op [**1-24**] kreeg de patiënt last van tachypneu en verergerde pijn bij het spalken. 	 de patiënt heeft tachypneu 	 entailment 
Op [**1-24**] kreeg de patiënt last van tachypneu en verergerde pijn bij het spalken. 	 de patiënt ontkent pijn op de borst 	 contradiction 
Op [**1-24**] kreeg de patiënt last van tachypneu en verergerde pijn bij het spalken. 	 de patiënt heeft een longembolie 	 neutral 
MEC protocol gestart [**3386-7-2**]. 	 De patiënt krijgt chemotherapie. 	 entailment 
MEC protocol gestart [**3386-7-2**]. 	 De patiënt krijgt geen chemotherapie. 	 contradiction 
MEC protocol gestart [**3386-7-2**]. 	 De patiënt heeft een acuut myeloid lymfoom. 	 neutral 
Er is een milde pulmonale arteriële systolische hypertensie. 	 De patiënt heeft een chronische aandoening 	 entailment 
Er is een milde pulmonale arteriële systolische hypertensie. 	 De patiënt heeft een normale rechter atriumdruk 	 contradiction 
Er is een milde pulmonale arteriële systolische hypertensie. 	 Patiënt heeft rechter ventriculaire vergroting 	 neutral 
Twee weken voor de opname op [**2574-7-14**] had de patiënt verergerende huiduitslag en verergerende koorts. 	 de patiënt had uitslag 	 entailment 
Twee weken voor de opname op [**2574-7-14**] had de patiënt verergerende huiduitslag en verergerende koorts. 	 de patiënt had geen uitslag 	 contradiction 
Twee weken voor de opname op [**2574-7-14**] had de patiënt verergerende huiduitslag en verergerende koorts. 	 de patiënt had cellulitis 	 neutral 
Wegens aanhoudende en matige nood werd het kind voor evaluatie naar de intensive care-afdeling voor pasgeborenen gebracht. 	 patiënt heeft ademhalingsmoeilijkheden 	 entailment 
Wegens aanhoudende en matige nood werd het kind voor evaluatie naar de intensive care-afdeling voor pasgeborenen gebracht. 	 patiënt heeft geen symptomen 	 contradiction 
Wegens aanhoudende en matige nood werd het kind voor evaluatie naar de intensive care-afdeling voor pasgeborenen gebracht. 	 patiënt heeft voorbijgaande tachypneu van de pasgeborene 	 neutral 
